#bore
56.863, 56.836, 56.069, 56.032
57.116, 56.431, 56.602, 56.394
57.119, 57.096, 57.080, 57.205
56.527, 56.473, 57.187, 57.162
56.741, 57.359, 56.975, 57.222
57.346, 57.208, 57.130, 57.228
57.049, 56.905, 57.010, 57.158
56.322, 56.803, 56.320, 56.517

#bot5
57.229, 57.008, 57.567, 56.878
56.767, 56.812, 57.711, 56.786
56.886, 56.962, 56.864, 56.896
57.568, 56.943, 56.549, 56.918
56.941, 57.173, 57.566, 57.204
57.053, 57.249, 56.727, 56.973
57.160, 57.739, 57.739, 56.711
55.981, 57.401, 57.234, 57.090

#bot6
56.859, 56.990, 57.095, 56.725
56.407, 56.712, 56.967, 57.201
56.622, 56.833, 56.894, 57.306
56.675, 56.927, 56.718, 56.577
57.012, 56.982, 56.603, 55.973
57.116, 57.104, 56.946, 56.984
56.898, 57.000, 56.637, 56.482
56.925, 56.553, 56.582, 55.954

#bot7
56.797, 56.760, 56.710, 56.777
58.265, 58.216, 58.422, 58.633
57.128, 56.991, 56.563, 55.975
57.037, 56.711, 56.903, 56.815
57.274, 57.099, 57.151, 56.755
57.435, 56.840, 56.849, 56.950
56.751, 56.840, 56.848, 56.981
56.799, 57.153, 57.184, 57.091

#bot8
58.361, 58.318, 58.341, 58.922
56.819, 56.818, 56.934, 56.097
56.812, 57.675, 56.845, 56.896
56.978, 56.874, 57.118, 57.299
57.014, 57.059, 57.142, 57.715
57.004, 57.084, 56.948, 56.756
56.709, 57.065, 56.877, 57.190
56.869, 57.055, 56.964, 55.965
