#bore
56.903, 56.711, 56.225, 55.960
57.055, 56.401, 56.539, 56.393
56.999, 57.196, 57.133, 57.013
56.397, 56.494, 57.314, 57.245
56.865, 57.338, 57.031, 57.133
57.285, 57.173, 57.111, 57.265
57.145, 56.906, 57.055, 57.170
56.327, 56.680, 56.393, 56.526

#bot5
57.139, 57.048, 57.552, 56.875
56.730, 56.794, 57.872, 56.740
56.941, 56.916, 56.880, 56.926
57.459, 56.921, 56.522, 56.938
56.795, 57.162, 57.498, 57.210
57.138, 57.239, 56.719, 56.912
57.134, 57.752, 57.081, 56.685
56.556, 57.226, 57.376, 57.131

#bot6
56.857, 57.028, 57.133, 56.714
56.429, 56.732, 56.887, 57.331
56.723, 56.811, 56.915, 57.265
56.668, 56.852, 56.746, 56.704
56.934, 57.049, 56.589, 55.993
57.031, 57.169, 56.995, 57.096
56.992, 56.953, 56.792, 56.637
56.785, 56.431, 56.592, 55.914

#bot7
56.797, 56.760, 56.710, 56.777
58.265, 58.216, 58.422, 58.633
57.111, 57.073, 56.535, 55.989
57.009, 56.661, 56.810, 56.943
57.124, 57.079, 57.141, 56.700
56.984, 57.064, 56.786, 57.271
56.750, 56.861, 56.876, 56.963
57.089, 57.162, 57.258, 57.012

#bot8
58.417, 58.315, 58.247, 58.740
56.714, 56.788, 56.912, 56.097
56.752, 57.609, 57.071, 56.904
57.007, 56.994, 57.252, 57.336
57.133, 57.157, 57.196, 57.698
57.008, 57.128, 57.022, 56.773
56.747, 57.028, 57.023, 57.104
56.910, 57.055, 56.864, 56.087
